lon,lat,heat flow
-111.28,44.3533,12.0
32.4333,35.0,12.0
13.1133,40.56,12.0
-2.73,36.81,12.0
30.2117,36.395,12.0
28.4667,51.3,12.0
119.933,-2.8167,12.0
102.875,16.2517,12.0
-111.6083,44.1017,12.0
75.9,43.61666667,12.0
-2.725833333,36.80638889,12.0
32.45,35.0,12.0
-121.9033,42.0933,12.0
-121.8217,42.005,12.0
102.875,16.25166667,12.0
158.632,-7.98,12.1
119.93333,-2.81667,12.1
34.43333,-11.1,12.1423
-5.933888889,36.21,12.4
123.11667,0.66667,12.5
175.8067,-38.425,12.54
34.31667,-11.28333,12.561
35.03611,31.81667,12.57
111.6666666,66.166666,12.6
-1.981388889,37.35833333,12.6
-3.599722222,37.16666667,12.6
35.06389,32.75333,12.989
34.3167,-11.2833,13.0
-103.316,18.885,13.0
-91.2433,47.1767,13.0
-113.06,42.6783,13.0
-80.8833,35.2833,13.0
-112.606,43.7567,13.0
-112.916,43.5467,13.0
-114.246,42.9017,13.0
-111.376,35.7633,13.0
-88.645,33.62,13.0
-91.9467,35.36,13.0
-121.96,41.59,13.0
-111.82,44.2933,13.0
-111.56,43.82,13.0
-111.61,44.285,13.0
-111.61,44.1017,13.0
-80.42,36.0167,13.0
-107.59,34.1367,13.0
-121.46,43.78,13.0
-118.33,42.6967,13.0
-121.9,42.095,13.0
-121.82,42.005,13.0
-85.21,23.49,13.0
20.5167,42.1167,13.0
32.5167,34.8833,13.0
26.2667,67.6667,13.0
29.2167,62.7833,13.0
35.0367,31.8167,13.0
35.0633,32.7533,13.0
17.9667,38.1833,13.0
36.0667,62.0833,13.0
175.807,-38.425,13.0
123.117,0.6667,13.0
-111.3767,35.7633,13.0
-103.31667,18.885,13.0
-99.77833,17.99833,13.0
-118.14,39.4883,13.2
-4.613611111,36.655,13.2
32.93333333,34.66666667,13.2
32.51666667,34.88333333,13.2
-121.3,41.72,13.7
-113.36,37.1483,13.7
-3.117777778,37.19194444,13.8
34.3667,-11.0833,14.0
-99.7783,17.9833,14.0
-84.8667,34.5333,14.0
-112.951,43.545,14.0
-113.16,42.9617,14.0
-113.391,42.8067,14.0
-121.666,41.73,14.0
-122.893,41.5733,14.0
-111.38,35.7633,14.0
-112.92,43.5483,14.0
-88.65,33.62,14.0
-80.88,35.2833,14.0
-104.95,31.52,14.0
18.99,36.4917,14.0
25.68,35.915,14.0
25.6567,35.51,14.0
12.3533,40.08,14.0
144.293,17.955,14.0
158.64,-8.035,14.0
99.8483,16.4583,14.0
83.9,57.36666667,14.0
74.83333333,43.33333333,14.0
-121.6667,41.73,14.0
-122.8933,41.5733,14.0
-111.495,35.7633,14.0
99.84833333,16.45833333,14.0
34.89,38.1,14.08
34.36667,-11.08333,14.2358
-76.5582,53.5237,14.7
-111.39,27.02,15.0
-112.946,43.3383,15.0
-122.01,41.8083,15.0
-87.9167,33.9617,15.0
-112.95,43.545,15.0
-113.39,42.8067,15.0
-92.43,28.32,15.0
-95.34,27.04,15.0
-92.34,18.4,15.0
19.4,40.7,15.0
27.7333,63.1167,15.0
17.0333,36.5967,15.0
30.3833,64.7333,15.0
35.2667,62.3667,15.0
91.6333,37.9,15.0
77.2033,12.6583,15.0
77.1683,12.5083,15.0
127.072,27.7983,15.0
111.667,66.1667,15.0
27.7317,63.1117,15.0
77.20833333,12.65833333,15.0
77.16944444,12.50972222,15.0
175.937762,-38.7234947,15.0
-108.93,31.9383,15.1
11.8859,42.7892,15.4808
-5.75,36.76,15.5
28.9917,-1.9417,16.0
-92.7583,16.3967,16.0
-82.3883,29.7583,16.0
-111.863,44.4717,16.0
-111.588,44.2883,16.0
-111.345,44.1233,16.0
-111.473,43.7967,16.0
-87.92,33.9617,16.0
-119.45,40.595,16.0
-99.53,34.03,16.0
-89.21,29.81,16.0
-43.1167,-21.4817,16.0
27.05,53.4667,16.0
13.854,75.729,16.0
78.09,42.43,16.0
105.433,43.6,16.0
118.6,56.8667,16.0
113.8,62.25,16.0
93.1667,60.4167,16.0
-111.4733,43.7967,16.0
-111.5883,44.2883,16.0
-5.2,7.683333333,16.0
78.05,42.41333333,16.0
105.4333333,43.6,16.0
105.4333,43.6,16.0
93.16666667,60.41666667,16.0
-92.75833,16.39667,16.0
26.72333333,53.5,16.0
-48.9201,-61.1224,16.0
-104.94,31.7417,16.2
58.66666667,49.25,16.2
-113.01,38.2217,16.7
-113.41,37.1367,16.7
-1.683333333,53.28333333,16.72
29.5433,-6.4467,16.76
-112.8,46.1817,16.8
-5.610833333,36.84722222,16.8
-105.76,36.3167,16.9
28.99167,-1.94167,16.95
31.12,39.34,16.98
36.6,-1.88,17.0
34.4167,-10.25,17.0
-118.811,37.8317,17.0
-86.5,34.7333,17.0
-112.531,43.7667,17.0
-112.745,43.8233,17.0
-113.403,42.7483,17.0
-111.415,43.89,17.0
-122.008,41.8083,17.0
-122.881,41.5683,17.0
-86.9667,30.995,17.0
-122.22,47.0683,17.0
-112.055,43.605,17.0
-121.67,41.7267,17.0
-111.86,44.4733,17.0
-111.79,43.81,17.0
-111.47,43.7983,17.0
-111.59,44.2883,17.0
-108.59,34.57,17.0
-118.51,42.58,17.0
-118.53,42.5167,17.0
-118.38,42.6733,17.0
-102.88,44.8,17.0
-101.59,44.49,17.0
-162.76,60.753,17.0
-94.38,17.93,17.0
-76.75,-10.4833,17.0
49.1833,39.8167,17.0
49.2667,39.9167,17.0
26.35,53.5833,17.0
28.5333,42.95,17.0
32.95,34.6667,17.0
32.9333,34.6667,17.0
26.2833,67.6667,17.0
16.5067,40.3683,17.0
15.965,36.0183,17.0
33.0167,68.0667,17.0
-4.57,37.04,17.0
3.5,40.62,17.0
29.1117,40.3983,17.0
-1.6833,53.2833,17.0
77.1517,12.645,17.0
72.5167,45.1333,17.0
83.4667,54.1167,17.0
111.25,66.0,17.0
113.917,62.5833,17.0
113.433,56.2333,17.0
83.6667,54.6667,17.0
157.205,-7.6267,17.0
98.75,18.9,17.0
98.8833,18.6167,17.0
99.1333,19.7333,17.0
99.2833,18.35,17.0
99.6367,16.0967,17.0
28.1464,39.6223,17.0
-111.7858,43.8108,17.0
83.46666667,54.1,17.0
72.53333333,45.13333333,17.0
36.6,-1.883333333,17.0
-76.75,-10.48333333,17.0
-122.0083,41.8083,17.0
-122.8817,41.5683,17.0
29.1118,40.3986,17.0
-1.6855,53.2805,17.0
77.1625,12.64583333,17.0
-70.18166667,-22.67833333,17.0
99.13333333,19.73333333,17.0
99.28333333,18.35,17.0
99.63666667,16.09666667,17.0
98.93333333,18.9,17.0
98.88333333,18.61666667,17.0
175.8090466,-38.88066037,17.0
-113.48,37.06,17.1
32.95,34.66666667,17.2
11.7445,42.8954,17.5728
42.7056,11.1341,17.7
-115.49,39.9017,17.8
34.35,-10.5,18.0
0.9167,14.8833,18.0
-101.1,56.7833,18.0
-124.528,49.7133,18.0
-95.1833,43.1667,18.0
-120.066,37.1667,18.0
-89.8517,33.0817,18.0
-93.3,35.9833,18.0
-122.88,41.5683,18.0
-111.42,43.89,18.0
-118.07,39.6767,18.0
-106.94,34.0033,18.0
-123.17,45.6533,18.0
-122.26,46.85,18.0
-96.04,28.82,18.0
-92.6,28.94,18.0
-89.4,29.41,18.0
-55.405,-2.925,18.0
-94.07,17.85,18.0
13.9,44.8,18.0
32.9,34.65,18.0
32.35,34.8833,18.0
34.8617,31.5167,18.0
16.0967,36.375,18.0
16.55,36.5617,18.0
58.3333,52.0833,18.0
60.6667,56.8333,18.0
-2.58,36.81,18.0
20.6833,65.6267,18.0
144.525,17.0283,18.0
108.317,53.1167,18.0
112.283,66.6,18.0
113.917,62.4167,18.0
110.667,71.5833,18.0
88.0,66.6167,18.0
101.22,16.7517,18.0
0.916666667,14.88333333,18.0
72.95833333,39.55,18.0
-124.5283,49.7133,18.0
-93.3,35.983,18.0
-120.0667,37.1667,18.0
101.22,16.75166667,18.0
77.31,42.31,18.0
26.99833333,53.49333333,18.0
16.5067,40.3675,18.0041
-124.516,49.7,18.1
-107.3,32.3667,18.2
-106.85,32.1333,18.2
58.25,52.0,18.3
32.35,34.88333333,18.3
-108.83,31.9417,18.4
-74.2833,11.75,18.4
-2.871944444,39.73722222,18.4
34.86111,31.51667,18.436
-117.99,39.6333,18.6
-5.431944444,36.6325,18.6
30.13,38.93,18.62
14.2367,75.4417,18.7
-111.74,45.3733,18.9
35.51055556,31.45111111,18.9807
35.4625,31.48805556,18.9807
-86.3167,48.1217,19.0
-123.866,48.8833,19.0
-123.501,48.635,19.0
-89.8,47.795,19.0
-88.3967,33.4267,19.0
-120.07,37.1667,19.0
-112.71,43.8433,19.0
-89.85,33.0833,19.0
-102.01,44.82,19.0
-95.16,28.91,19.0
-95.28,27.05,19.0
-48.6617,-17.7933,19.0
-64.5983,10.1817,19.0
29.6833,51.5667,19.0
28.5,53.55,19.0
32.95,34.5833,19.0
32.5667,34.8333,19.0
25.8833,67.6167,19.0
27.7333,63.1,19.0
21.7,57.6167,19.0
6.3333,58.3167,19.0
28.8167,60.6833,19.0
15.2,45.5,19.0
-1.6167,36.5333,19.0
91.1333,38.3667,19.0
140.983,37.3,19.0
75.6167,49.2333,19.0
144.813,17.48,19.0
113.0,61.75,19.0
114.333,62.45,19.0
109.717,55.3,19.0
157.267,-7.7267,19.0
99.1167,18.9333,19.0
-123.8667,48.885,19.0
108.7,53.81666667,19.0
58.332,52.0,19.0
58.36666667,52.41666667,19.0
109.7166667,55.3,19.0
27.73,63.105,19.0
32.5667,34.9,19.0
32.5667,34.8334,19.0
140.9833333,37.3,19.0
99.11666667,18.93333333,19.0
21.86,57.59,19.0
26.16666667,53.2,19.0
-117.25,40.625,19.1
42.055,11.435,19.2
-76.5525,53.5242,19.2
27.43,41.42,19.22755131
-71.0,15.0817,19.3
19.7667,42.0833,19.5
-5.866111111,36.35083333,19.8
-72.32515796,4.735311321,19.99
28.85,22.05,20.0
28.74,22.3,20.0
28.75,22.31,20.0
32.7667,-3.8833,20.0
-101.016,56.8,20.0
-62.1083,56.33,20.0
-123.983,49.05,20.0
-91.225,47.205,20.0
-103.666,44.3,20.0
-103.716,44.1333,20.0
-121.681,42.165,20.0
-82.0167,30.7833,20.0
-113.241,43.1433,20.0
-121.136,41.2,20.0
-111.478,35.57,20.0
-87.625,32.2183,20.0
-85.58,31.3767,20.0
-87.8883,32.8333,20.0
-88.5667,34.7783,20.0
-122.255,46.85,20.0
-122.621,46.535,20.0
-111.94,42.12,20.0
-113.39,42.0983,20.0
-88.4,33.4283,20.0
-101.79,44.14,20.0
-103.67,44.3,20.0
-105.25,31.9433,20.0
-109.63,38.7667,20.0
-101.42,30.93,20.0
-104.03,31.8,20.0
-101.44,33.61,20.0
-100.12,30.49,20.0
-101.93,36.13,20.0
-100.47,31.79,20.0
-101.43,31.19,20.0
-104.16,31.11,20.0
-98.74,32.21,20.0
-98.88,32.13,20.0
-99.7,32.51,20.0
-100.03,32.51,20.0
-99.09,32.14,20.0
-104.45,31.72,20.0
-103.08,31.01,20.0
-102.29,36.79,20.0
-99.81,31.26,20.0
-101.64,31.25,20.0
-101.81,36.0,20.0
-99.82,31.02,20.0
-104.76,32.41,20.0
20.2667,41.3333,20.0
49.1,39.9667,20.0
26.1667,66.1,20.0
13.1833,50.9333,20.0
-43.8,65.2,20.0
12.425,40.0767,20.0
30.3333,67.3333,20.0
59.6667,58.1667,20.0
29.2017,39.7017,20.0
30.05,40.475,20.0
33.4,48.45,20.0
28.0833,51.25,20.0
94.15,37.3833,20.0
68.3333,54.4167,20.0
68.6667,54.4167,20.0
71.2,53.1167,20.0
144.762,17.4667,20.0
153.328,47.495,20.0
103.65,53.5333,20.0
83.5667,54.5667,20.0
77.8333,55.0833,20.0
114.233,63.0,20.0
114.233,61.8333,20.0
113.7,62.65,20.0
106.0,69.8333,20.0
63.5,56.5,20.0
76.6667,56.5833,20.0
74.3333,55.5833,20.0
77.25,56.0,20.0
76.75,54.75,20.0
80.5,54.3333,20.0
78.5,53.3333,20.0
83.5167,54.5167,20.0
157.197,-7.6033,20.0
156.795,-7.3517,20.0
99.9783,16.4967,20.0
58.0833,37.9667,20.0
58.2167,37.9333,20.0
58.15,38.0167,20.0
28.1455,39.622,20.0
-123.8683,48.885,20.0
-123.9967,49.0517,20.0
-122.6217,46.535,20.0
83.56666667,54.56666667,20.0
84.55,54.666666,20.0
13.19666667,50.93333333,20.0
58.46666667,52.08333333,20.0
32.76666667,-3.883333333,20.0
-89.5983,51.825,20.0
59.5,51.53333333,20.0
1.069,14.303,20.0
-121.1367,41.2,20.0
29.202,39.703,20.0
-103.7167,44.1333,20.0
-111.4783,35.57,20.0
-121.6817,42.165,20.0
58.33333333,52.41666667,20.0
99.97833333,16.49666667,20.0
27.0,53.48833333,20.0
140.233,35.5333,20.1
-62.1083,56.3267,20.4
-111.94,42.1267,20.4
-119.42,40.39,20.4
-118.56,40.2667,20.5
33.31666667,35.11666667,20.6
-124.533,49.75,20.7
-119.72,39.4533,20.7
-62.0533,56.32,20.8
-108.82,31.945,20.9
-122.15,44.9333,20.9
-122.05,44.4617,20.9
-74.7833,15.85,20.9
8.8522,54.385,20.9
175.5167,-41.17,20.9
-68.5167,-31.55,20.9
111.4,-7.566666667,20.935
29.5883,-6.39,20.95
34.0,24.0,21.0
37.27,-1.53,21.0
0.3333,14.4167,21.0
32.05,-2.8833,21.0
-123.496,48.5917,21.0
-62.0533,56.3183,21.0
-75.6333,46.2667,21.0
-77.4167,44.5667,21.0
-77.1667,44.7167,21.0
-124.542,49.7533,21.0
-111.5,27.3,21.0
-111.335,43.95,21.0
-123.853,42.8033,21.0
-116.296,43.5467,21.0
-81.5,31.1333,21.0
-112.688,43.765,21.0
-112.658,43.87,21.0
-111.785,43.81,21.0
-87.89,32.835,21.0
-85.58,31.3783,21.0
-82.02,30.7833,21.0
-113.24,43.145,21.0
-111.52,43.9083,21.0
-88.57,34.7783,21.0
-108.57,47.9333,21.0
-119.17,40.7667,21.0
-119.45,40.6017,21.0
-106.65,32.3,21.0
-121.68,42.165,21.0
-112.61,38.6583,21.0
-122.87,46.295,21.0
-122.62,46.535,21.0
-97.66,30.15,21.0
-102.85,31.67,21.0
-100.98,30.4,21.0
-102.08,36.13,21.0
-101.72,36.82,21.0
-92.22,28.51,21.0
-88.53,29.29,21.0
-88.89,29.55,21.0
-63.5633,-20.0833,21.0
-37.1167,-7.8817,21.0
-70.8833,-28.9833,21.0
-93.3,17.36,21.0
20.0833,40.35,21.0
19.8833,41.3333,21.0
49.05,39.75,21.0
49.05,39.85,21.0
49.1167,39.95,21.0
27.55,52.0667,21.0
26.2667,54.1167,21.0
27.3667,52.2167,21.0
28.6333,53.55,21.0
28.5,53.5,21.0
16.7,43.6,21.0
33.3167,35.1167,21.0
16.3667,49.7333,21.0
23.9333,67.55,21.0
8.8633,54.3933,21.0
12.8083,40.01,21.0
140.74,35.8267,21.0
14.755,72.005,21.0
22.65,51.8167,21.0
-3.67,37.16,21.0
35.4333,35.5333,21.0
30.3333,48.35,21.0
111.4,-7.5667,21.0
139.167,38.5333,21.0
76.8,42.4167,21.0
175.517,-41.17,21.0
119.95,15.9667,21.0
114.667,66.25,21.0
84.55,54.6667,21.0
108.683,53.7833,21.0
109.55,55.7667,21.0
86.5,67.5,21.0
107.833,60.4667,21.0
108.667,60.2,21.0
108.833,60.1,21.0
107.183,57.9333,21.0
107.883,59.6667,21.0
156.802,-7.3383,21.0
99.35,18.8833,21.0
102.88,16.235,21.0
76.8,42.41666667,21.0
74.28333333,42.85833333,21.0
-2.583055556,36.81166667,21.0
37.26666667,-1.533333333,21.0
32.05,-2.883333333,21.0
-42.0983,-21.8242,21.0
-63.56333333,-20.08333333,21.0
140.7355,35.8259,21.0
-62.0547,56.3192,21.0
32.95,34.58333333,21.0
32.56666667,34.83333333,21.0
24.08333333,53.05,21.0
26.26666667,54.11666667,21.0
-70.88333333,-28.98333333,21.0
-99.51667,17.145,21.0
26.70833333,53.25166667,21.0
-74.17,49.9,21.1
35.51583333,31.45027778,21.17207
29.37,39.12,21.37
-75.6289,46.2839,21.4
28.4778,22.5796,21.6
-92.9667,20.1833,21.8
-60.6833,12.35,21.8
36.78333333,-1.316666667,21.8
58.5,51.41666667,21.9
119.88333,-2.83333,21.9
28.48,22.58,22.0
36.7833,-1.3167,22.0
36.9,0.1,22.0
35.47,0.18,22.0
-92.45,49.4333,22.0
-100.95,56.8333,22.0
-111.253,44.0967,22.0
-113.065,43.6233,22.0
-114.71,42.9917,22.0
-108.566,47.9333,22.0
-122.868,46.295,22.0
-98.26,34.42,22.0
-116.04,34.21,22.0
-112.66,43.87,22.0
-102.54,44.52,22.0
-102.02,44.34,22.0
-103.72,44.1333,22.0
-104.87,31.6667,22.0
-94.57,28.84,22.0
-94.73,29.49,22.0
-97.0,32.89,22.0
-99.65,31.26,22.0
-100.44,31.51,22.0
-99.87,30.73,22.0
-99.97,32.49,22.0
-102.07,30.64,22.0
-99.89,30.83,22.0
-101.71,30.59,22.0
-99.65,31.32,22.0
-100.3,32.49,22.0
-99.28,31.71,22.0
-101.9,35.81,22.0
-102.05,30.82,22.0
-99.77,31.04,22.0
-98.67,33.25,22.0
-92.78,28.75,22.0
-92.89,29.01,22.0
-89.22,29.39,22.0
-88.71,29.5,22.0
-89.03,29.73,22.0
-86.33,20.42,22.0
-91.96,17.47,22.0
-67.565,10.0867,22.0
48.9833,39.8667,22.0
49.0,39.8667,22.0
27.45,52.2167,22.0
27.95,53.8833,22.0
26.2333,53.4667,22.0
26.3333,53.25,22.0
33.3333,34.9667,22.0
16.3333,49.7167,22.0
9.8617,42.0867,22.0
13.35,52.1167,22.0
20.6667,39.1167,22.0
18.9467,35.78,22.0
35.5667,33.0067,22.0
11.7317,41.2233,22.0
12.2817,39.95,22.0
12.8533,40.0133,22.0
21.45,57.4167,22.0
9.23,59.015,22.0
60.0833,56.6667,22.0
60.1667,56.5,22.0
14.237,75.442,22.0
29.05,49.7333,22.0
119.883,-2.8333,22.0
49.3333,32.0,22.0
141.7,39.2667,22.0
58.7167,48.9367,22.0
83.5,54.5,22.0
111.5,66.0,22.0
112.383,66.5,22.0
58.4417,52.0433,22.0
80.25,55.0,22.0
81.1667,54.5,22.0
99.95,19.2,22.0
104.08,17.1383,22.0
-122.8683,46.295,22.0
0.333333333,14.41666667,22.0
-49.75,65.2093,22.0
-80.395,78.3897,22.0
20.66666667,39.11666667,22.0
13.35166667,52.125,22.0
59.16666667,53.53333333,22.0
58.33333333,52.0,22.0
36.9,-0.1,22.0
59.68333333,51.08333333,22.0
58.71666667,48.93666667,22.0
58.44166667,52.04333333,22.0
16.1967,49.4167,22.0
104.08,17.13833333,22.0
21.55,57.37,22.0
175.9254122,-38.75836476,22.0
26.69333333,53.23166667,22.0
27.0,53.49666667,22.0
142.42,-6.88,22.1752
-76.3333,16.1,22.2
35.5675,33.00722,22.207
28.7383,22.3004,22.28666667
43.1309,11.5368,22.3
57.5,51.5,22.4
33.33333333,34.96666667,22.4
-118.12,39.5083,22.5
35.46,0.18,22.5
-115.53,39.7433,22.6
120.9616667,23.89666667,22.6044
-75.2035,53.4562,22.7
28.8507,22.0462,22.78
-100.205,54.7583,22.8
157.452,-8.58,22.8
56.16666667,52.83333333,22.8
-73.46967747,4.069861322,22.86
-118.19,39.7033,22.9
-112.9,39.4133,22.9
-113.5,39.1733,22.9
79.56416667,18.79666667,22.9
