lon,lat,Bed Elevation,Mean Curvature,Sedthk,CurieDepth,Rocktype,LAB,Magnet Anolay,distance_to_volcano,distance_to_hotspot,moho,Bouguer Gravity,MiddleCrustThickness,UpperCrustThickness,Vp (km/s),Vs (km/s),TectReign,heat flow
-54.5,-63.5,-254.42854,-0.02402175,0.79,24.84265089,8,74.52883759,-100.1446008,124.3105902,3352.182661,23.40305776,84.34,-22.07,-13.18,7.90288,4.28719,4,76.5
-52,-62.5,-3104.8384,0.036963833,0.746944739,22.15867667,9999,81.37953876,-49.31411,279.992407,3232.859452,11.95504144,215.8818182,-9.735874717,-5.748261365,7.86078,4.2451,4,86
-49,-61.5,-2853.9727,0.048008333,0.562025968,22.35055656,9999,80.67514544,-47.51710447,471.4199442,3082.117409,10.94737869,215.8818182,-7.70901303,-4.587011903,7.84169,4.22547,4,16
-48,-61.5,-2743.3203,0.0369895,0.563801338,24.17845767,9999,78.55599083,85.67879011,516.4421531,3029.098304,11.16744547,215.8818182,-7.370956095,-4.474981529,7.84262,4.22622,4,69
-50,-61.5,-2955.4275,0.051754167,0.585766436,16.19756922,9999,79.11694341,-28.35269825,427.7479298,3135.101457,10.92326978,215.8818182,-8.139488462,-4.764581588,7.84219,4.22617,4,71
-48.5,-61.5,-2834.1257,0.04329025,0.41,24.23669156,9999,80.1467275,-35.84234828,493.7857452,3055.611559,10.9409351,215.8818182,-6.31,-4.4,7.8421,4.2258,4,74
-49.5,-61,-1869.6969,0.052151833,0.566070222,18.87082622,9999,78.99290901,37.33624336,483.1041838,3111.989655,10.50875139,215.8818182,-7.807781413,-4.642469742,7.84562,4.22911,4,34
-47,-61,-270.23145,0.026558333,0.590281832,26.14577389,9999,67.44535,93.19115731,591.332191,2977.401171,11.56293821,215.8818182,-7.059022506,-4.412669057,7.84572,4.22871,4,41
-49,-61,-1490.1257,0.049160333,0.558941063,21.26595311,9999,49.86994,79.30764023,503.9874577,3085.093099,10.50449118,215.8818182,-7.618925212,-4.581129911,7.84567,4.22904,4,47
-48.5,-61,-2322.088,0.044761333,0.557906879,23.883232,9999,78.56129928,78.61287033,525.2998894,3058.184661,10.47179551,215.8818182,-7.450720331,-4.530639276,7.84575,4.22901,4,55
-50,-61,-2190.256,0.053455111,0.57928618,16.85397033,9999,78.8849366,51.10334119,462.7095116,3138.873058,10.4881306,215.8818182,-8.018984108,-4.719694308,7.84567,4.22929,4,55.5
-48,-61,-1938.8301,0.039057889,0.563668631,25.83920033,9999,80.94820109,113.9079558,546.990117,3031.265637,10.6860006,215.8818182,-7.30306857,-4.488536136,7.84585,4.22901,4,65
-69,-54,174.21306,-0.112257778,1.391813527,27.77131956,1,67.07056281,-28.83794721,909.6402398,2357.93996,35.49254203,141.3432702,-19.0425942,-10.30693411,7.97179,4.35654,3,96
167,-47.5,-220.5892,-0.0586265,1.297885224,18.81191788,9999,110.3842148,-17.51558829,103.4781282,1286.623106,24.34957561,244.9321834,-12.68714929,-7.387429981,7.93635,4.32292,5,51.5
167,-47,-321.4723,-0.058342778,1.162872438,17.99329678,9999,168.78905,-117.2736803,48.22096168,1247.975518,24.52591723,199.4425492,-12.92095023,-7.543534287,7.94308,4.32944,5,70
168,-46.5,41.45088,-0.088598667,1.003938643,18.4925165,1,110.877191,205.6901853,84.67166807,1269.47869,25.16690289,214.6950736,-14.9215454,-8.54965766,7.96633,4.35239,5,76
171.5,-44,207.62755,-0.120833333,1.220509655,17.48142933,1,108.599709,62.98156477,459.6632628,1375.556395,26.66907106,163.9148085,-18.0575755,-10.29627746,8.09368,4.47786,2,35.8
172.5,-44,86.32484,-0.102381667,1.623920885,17.67744011,2,107.5674344,32.47148783,523.1240421,1451.265731,26.64422915,212.3741215,-17.8739461,-10.28432694,8.09059,4.47482,2,44
172,-44,46.360474,-0.112226667,1.437571979,16.39423978,1,108.1080769,21.97942292,490.8650923,1413.314044,26.6696253,181.3585341,-18.02103199,-10.32539688,8.09287,4.47708,2,53.05
172.5,-43.5,69.27545,-0.113245,1.1,22.486559,1,107.6095173,-35.10221612,491.4300211,1435.073528,32.33,177.0515659,-20.05,-11.32,8.09752,4.48144,2,58.1
170,-43.5,372.2325,-0.118715,0.702663083,24.93565786,1,109.5315303,-5.986355028,419.5627532,1243.329189,26.60632044,150.2794805,-17.23268272,-9.663414283,8.07804,4.46191,6,58.5
145.5,-43,208.6594,-0.062056667,1.394854761,13.42424689,8,73.3977268,-30.82044889,1728.983835,594.725305,25.91806715,182.713523,-12.34201658,-7.566670943,7.91592,4.29904,3,57
147,-43,263.62924,-0.079621111,1.476292745,15.10725278,10,63.66553,20.66462636,1615.006643,650.5735377,27.57147455,178.3345926,-12.45407935,-7.591139882,7.88341,4.26664,3,81.5
147.5,-43,129.96419,-0.064136,1.518022077,16.65914156,4,80.63850161,15.5854499,1577.094116,673.4664446,27.53870611,193.7578112,-12.26088359,-7.544399715,7.87477,4.25808,4,82.4
171,-43,441.99173,-0.122943333,1.000131439,23.890793,1,149.98383,-1.284940423,489.548489,1302.968934,26.81330468,158.0764496,-17.91053561,-10.08531702,8.106,4.48964,6,92.16875
145,-42.5,18.44838,-0.056113667,1.45080394,12.52940211,8,72.49584883,37.43826411,1787.300528,528.3372193,25.07180704,196.4949189,-12.88911884,-7.817883576,7.93024,4.31338,4,57
171.5,-42.5,442.5255,-0.122245,0.8,24.57177371,1,108.0603001,-38.97098705,420.8019668,1328.524753,30.62,162.4690014,-24.74,-13.58,8.09746,4.48094,2,76.5
147,-42.5,522.1373,-0.094539833,1.509570273,14.47421367,3,77.84406324,1.780518293,1635.828574,604.4933397,27.43599712,159.0634473,-13.17266044,-7.870475974,7.88858,4.27165,3,77
171,-42.5,83.84632,-0.115173333,1.13908049,25.54677767,9999,108.3437838,-24.34609297,443.4428187,1288.646383,26.89298568,189.753121,-17.76548635,-9.980589614,8.09118,4.4747,6,80.5
146.5,-42.5,635.9578,-0.10150625,0.05,11.58814322,10,75.75294605,17.6583076,1673.6223,581.7684818,29.07,150.2047296,-21.19,-10.49,7.89983,4.28287,3,83
147.5,-42.5,356.22964,-0.077645,0.1,16.76227167,4,80.53671022,4.527981053,1598.09277,629.2547837,30.77,173.0695866,-19.31,-8.79,7.87726,4.26041,4,94.16666667
146.5,-42,721.96576,-0.109175,1.53958407,13.20061556,4,75.48509022,-13.93710523,1695.818576,535.3391451,27.23021975,142.8823975,-14.04194634,-8.201576698,7.90549,4.28841,3,80.13333333
172,-42,618.0358,-0.121867778,1.331093922,22.914892,9,107.3412403,-19.44538245,352.0267339,1357.753811,26.90643317,153.3885199,-18.00005303,-10.17486004,8.07843,4.46188,2,81.83333333
147,-42,266.66287,-0.101084556,1.557837457,14.77675367,4,77.67716195,28.23112878,1658.218964,560.1378324,27.3931625,153.670422,-13.90124445,-8.159417088,7.89325,4.27618,3,87.15
148,-42,157.62245,-0.055217111,1.608413792,17.10605589,1,83.61100556,-26.0266189,1583.248696,615.5850796,26.7466012,187.5266243,-13.25976759,-7.988722893,7.86998,4.25307,4,96
145.5,-42,664.8184,-0.093598,1.527019338,10.26752253,9,72.72225025,-0.43100556,1771.215622,493.0692856,26.14039191,146.8411122,-13.932419,-8.187106976,7.92496,4.308,3,97
147.5,-42,528.9548,-0.083307,1.580013844,16.91672233,1,80.43903094,-10.95052623,1620.693419,586.97562,27.24660723,159.5580517,-13.63890002,-8.087254046,7.88019,4.26318,4,100.4285714
175.5,-41.5,72.97404,-0.086701,0.85,27.2212982,5,103.8815984,-58.26774792,280.7251,1639.03371,23.76,251.7178942,-15.06,-8.89,8.04041,4.42375,6,20.95
175,-41.5,206.47707,-0.105161333,1.066884332,25.96073657,1,104.3617905,-8.843552701,265.7124412,1597.521925,26.1771296,213.7935105,-16.8658162,-9.696624986,8.0485,4.43177,2,29.15
174.5,-41.5,-46.076492,-0.119145,0.8,23.95846156,5,104.8637823,-16.40883643,255.6665194,1556.037179,23.4,164.2020734,-17.01,-9.67,8.05473,4.43795,2,46
173.5,-41.5,231.98262,-0.1297375,1.3,21.200293,3,105.8485022,48.88528766,256.2271849,1473.163693,25.8,161.6316567,-19.72,-11.07,8.05809,4.44138,2,47
172.5,-41.5,583.1598,-0.1228475,0.2,20.0290805,9,106.5855473,96.48145203,283.3533201,1390.44701,27.98,179.2784949,-19.47,-10.36,8.05722,4.44065,2,55
147,-41.5,247.2132,-0.102092167,1.617446907,16.39866956,5,77.31965047,-9.307482182,1682.115157,517.9502986,27.4941499,170.0288072,-14.65165194,-8.460844303,7.89487,4.27773,3,65.4
146.5,-41.5,121.55102,-0.1108925,0.1,14.015618,5,75.0916211,-12.85371896,1719.491245,490.8144502,26.97,167.8240411,-19.27,-8.69,7.90711,4.29,3,79
147,-41,-48.199028,-0.099989222,1.686829804,18.36517967,9999,60.61709,44.50648439,1707.453905,478.5045059,27.76836214,174.0340571,-15.41927503,-8.774005529,7.88649,4.26948,3,53
173,-41,-36.042725,-0.126397778,1.981678113,19.85708411,9999,153.21689,-31.53788632,215.0760194,1426.387723,26.79503379,166.3173094,-17.70469045,-10.1154052,8.03938,4.42277,5,54
172.5,-41,254.507,-0.117611667,2.01884575,20.67115033,9999,106.033538,-30.12416045,235.4543871,1384.569485,26.90917077,206.9289511,-17.62813865,-10.02837431,8.03703,4.42051,5,71
146,-41,-70.32833,-0.109588889,1.683673365,13.36580344,9999,73.01142778,-18.70615146,1781.806613,421.2873941,27.30295619,178.3076645,-15.68644527,-8.862001568,7.91156,4.29461,3,103.7
-72.5,-41,777.6184,-0.101380833,0.646070773,28.4093595,12,53.49724539,-14.08409978,53.46137637,966.1207022,42.49055606,124.3301383,-19.0425942,-9.685147855,7.93089,4.31286,3,200
175,-40.5,15.992422,-0.141281667,1.397390592,21.18011033,1,104.0118849,6.487922684,164.1262033,1592.150731,26.14060763,39.05125966,-17.12204136,-9.867453541,8.0361,4.41927,3,49
146.5,-40.5,-76.32139,-0.10715,4.8,17.64867033,9999,74.37100981,38.87618287,1731.953001,409.9422547,28.27,176.2002692,-20.95,-12.3,7.88756,4.27075,3,56
145.5,-40.5,-73.719376,-0.1044525,3.1,15.65351378,9999,71.40963606,-0.747597564,1760.767201,351.559403,25.65,175.4923836,-22.09,-12.76,7.91359,4.29683,3,63.26666667
173,-40.5,-82.35208,-0.122111667,2.516295026,21.03507567,9999,105.1814295,-82.48793614,165.8917557,1423.109073,26.81209778,186.1421445,-17.45318653,-9.999588142,8.02358,4.40701,5,66.25
-72.5,-40.5,572.1127,-0.10150675,0.99,24.907255,1,54.13802255,-14.08409978,55.65274933,923.1957766,45.09,136.2438699,-22.68,-10.1,7.93047,4.31264,3,110
172,-40.5,-198.01562,-0.099510333,2.493093709,25.20198322,9999,105.3994049,-66.74682087,222.846552,1338.6491,27.04361131,207.5506368,-17.03654249,-9.659065619,8.01095,4.39457,5,137
175.5,-40,525.5957,-0.141165,1.400265609,19.07442733,5,103.44468,46.14395358,114.7100602,1634.891253,25.90993822,78.2478201,-16.89357209,-9.747247683,8.03408,4.4171,3,29
176,-40,651.2436,-0.128795556,1.401077323,21.198148,5,103.1200412,4.712886603,116.3037538,1677.465306,25.69382927,104.7907763,-16.4442023,-9.49833821,8.03657,4.41951,3,35.8
176.5,-40,134.56192,-0.110028167,1.503755497,23.266107,1,102.770187,5.578255797,132.5758496,1720.033157,25.46935326,143.7924536,-15.83413974,-9.16666548,8.03946,4.42235,3,36.8
143.5,-40,-50.738663,-0.053284167,1.848760629,14.19301278,9999,70.92230665,13.82221106,1782.008847,226.5473372,24.81901747,206.3449285,-16.39560242,-9.273322176,7.97259,4.35587,3,37.2
145.5,-40,-78.07465,-0.1053,1.755148791,15.22702178,9999,71.1235345,-1.219453898,1709.162231,310.0199688,27.8218389,167.6533033,-17.38337235,-9.52694879,7.90492,4.28829,3,54.33333333
146,-40,-79.370834,-0.108117778,1.748382705,16.106726,9999,72.37632733,16.19930175,1693.642468,341.5241155,28.35635536,168.9911914,-17.39005596,-9.5251126,7.88779,4.27116,3,56
173,-40,-113.31132,-0.113171111,2.970675588,22.47998722,9999,104.4349285,-56.42332571,122.3283946,1421.962061,26.82441767,185.237242,-17.07727545,-9.801633818,8.00714,4.39064,5,59.625
-71.5,-40,1231.7045,-0.125871667,0.661018612,19.90012667,11,54.50131219,100.0838066,56.10074355,942.0134723,44.40763969,72.9355035,-19.0425942,-10.371414,7.92037,4.30249,3,60
145,-40,-65.80764,-0.098123556,1.763461095,14.17706067,9999,70.37391603,-0.048753827,1725.791215,281.6331971,27.16417205,172.8392875,-17.25494751,-9.492900194,7.92289,4.30625,3,61
174,-40,9.624046,-0.137057778,2.376783167,18.00047956,9999,104.1668708,75.82948572,85.63734873,1507.14128,26.49816055,125.679035,-17.32577135,-9.993497651,8.02314,4.40643,3,64.76666667
-63,-40,16.538948,-0.056935556,1.286174569,28.7817505,1,98.00395392,44.48415397,571.0553739,1566.595566,36.53505823,147.7097845,-19.0425942,-12.83871342,8.04866,4.43057,2,77
175,-40,274.58374,-0.14588,1.577480425,18.89184533,5,103.7328125,16.50919351,119.9053038,1592.311908,26.11697361,73.08366606,-17.15792515,-9.897561313,8.03165,4.41474,3,99
176.5,-39.5,352.76074,-0.1231775,1,17.72047956,1,102.5213547,2.670296255,89.94415936,1722.839587,26.2,84.38543988,-24.28,-13.4,8.04577,4.42848,3,25.04
177,-39.5,-2.363641,-0.1030065,1.644425635,22.14802922,9999,102.1774488,-6.765212142,126.0050092,1765.640287,25.19038176,127.0725189,-15.04149701,-8.721974851,8.05234,4.43503,3,36.3
145,-39.5,-71.84451,-0.101013167,1.73937532,15.57114322,9999,70.27080076,-36.21755423,1675.059922,240.6127662,27.88705819,174.70865,-18.15415193,-9.818227603,7.91835,4.3018,3,55
143,-39.5,-93.864235,-0.051196667,1.905668246,14.30124511,9999,72.0919224,-19.8400322,1754.751351,166.7926204,24.95160019,186.9099456,-16.98538202,-9.518072073,7.98878,4.372,6,58
173.5,-39.5,-12.808223,-0.11291,4.5,18.58326511,1,103.6061525,-5.451675071,53.84886797,1465.819236,26.36,180.9541155,-21.04,-12.81,7.9969,4.3803,3,59
177.5,-39.5,-32.81443,-0.075999,3.9,23.84745211,9999,101.7474445,8.915127413,157.0177634,1808.429287,28.62,206.8331506,-20.84,-13.21,8.05955,4.4423,6,59.7
175.5,-39.5,1019.5198,-0.1403275,1,13.90836756,1,103.1191559,57.48129846,60.33229213,1637.205127,24.79,151.0807399,-28.18,-15.48,8.03185,4.41473,3,62.61
144.5,-39.5,-64.60639,-0.093461,1.9,15.10119589,9999,70.2036176,-1.454166471,1693.415712,211.5114786,24.94,184.2842208,-22.24,-12.1,7.93664,4.32003,3,67
-63,-39.5,22.710356,-0.056747167,1.273989761,28.05404933,3,96.69185072,0.461816138,550.5595099,1548.298519,36.73445505,149.5640812,-19.0425942,-13.12163143,8.05558,4.43728,2,69
174,-39.5,263.62582,-0.124705,2.695779818,17.59710878,1,103.5562161,8.846432222,30.07186303,1508.678886,26.4845913,170.3040566,-17.05237006,-9.851537919,8.00641,4.38966,3,71.94
142.5,-39.5,-490.44882,-0.02994575,6,17.96972678,9999,73.58515279,-4.486990009,1777.164312,172.3354828,22.08,220.3975991,-13.38,-9.4,8.00909,4.39228,6,72.24
175,-39.5,520.97144,-0.139368333,1.715825777,15.71556813,5,103.3616926,13.57594783,83.53122354,1594.372427,26.08764483,167.8049029,-17.06021298,-9.845167566,8.02517,4.40814,3,87.4
174.5,-39.5,278.73752,-0.1340475,1.49,17.13197844,5,103.4864351,14.47338094,51.03027421,1551.530152,24.88,171.200089,-22.21,-12.66,8.01712,4.40021,3,89.16666667
-72,-39.5,963.2896,-0.116425,0.655754278,18.793835,9,55.36357776,-1.725439438,20.02685045,872.9327133,45.64125805,93.46922902,-19.0425942,-10.05468571,7.92527,4.30766,3,146
177,-39,517.20374,-0.110945556,1.517996288,20.30672933,5,160.24324,-10.1249888,86.8267506,1770.383481,25.13358089,109.9452758,-14.84402587,-8.572470167,8.0581,4.4406,3,41.75
173,-39,-142.90695,-0.083448667,3.343629328,20.52139311,9999,141.45533,-1.721555307,85.82860453,1426.073969,26.82909516,224.3806238,-16.00934043,-9.205710607,7.97307,4.35658,4,44.8
141,-39,-1158.2821,0.010080511,1.979095993,27.65067489,9999,45.17751,-35.3419963,1805.372838,206.5244836,23.71351043,256.4444132,-16.59166972,-9.503154953,8.04881,4.43204,6,46
174,-39,-56.258488,-0.107405778,2.915052614,18.46260878,9999,102.8038731,-106.9455496,19.07968016,1512.222055,26.46371882,197.1904332,-16.61876844,-9.609927803,7.99182,4.37501,4,48
148.5,-39,-1859.0857,-0.038301167,1.582101059,25.47881356,9999,85.80441619,-5.065283916,1525.156613,491.2822868,29.00432038,240.1622436,-17.02629475,-9.52231605,7.81372,4.19755,4,48.66666667
142,-39,-199.4316,-0.034565444,1.986939931,20.78860044,9999,76.27268928,-1.063911538,1754.494419,141.1969316,24.72862593,205.0418626,-17.22329068,-9.666011872,8.0303,4.41347,3,49.5
177.5,-39,250.99261,-0.089985333,1.673152907,22.331887,5,101.4111635,-0.100634437,120.2703592,1813.365338,24.89132672,157.0757129,-13.95658562,-8.089773873,8.06856,4.45115,6,54.43333333
145.5,-39,-11.171625,-0.107851667,1.654459955,13.76236478,9999,71.38554181,-0.616638729,1606.731823,244.3119395,29.31473027,179.6141104,-19.10970343,-10.15003115,7.89531,4.27885,3,58
143,-39,31.39585,-0.069061667,1.876560569,16.32438189,3,47.3078,-15.09685362,1707.204778,111.1950802,25.94375976,180.1804669,-17.94181424,-9.841044132,7.99083,4.37403,3,59.3375
175,-39,338.31198,-0.124612222,1.824941619,15.27421122,5,187.91512,-0.706071747,60.53962474,1598.324939,26.05089736,209.0314463,-16.74559293,-9.659810422,8.01723,4.40009,4,60.96
142.5,-39,-53.596954,-0.053321,1.943383052,18.40504444,9999,74.46562853,-11.74466582,1730.381814,119.4044251,25.31068113,184.9755069,-17.57938775,-9.753528288,8.01218,4.39535,3,61.7375
